26-Jan,,,,,,,,26-Feb,,,,,,,,
,Temperature,,,,HDD,CDD,Precipitation,,Temperature,,,,HDD,,CDD,Precipitation
Date,Maximum,Minimum,Average,Departure,,,,Date,Maximum,Minimum,Average,Departure,,,,
1/1/26,68,53,60.5,2.6,4,0,1.31,2/1/26,76,42,59,5.7,6,,0,0
1/2/26,66,53,59.5,1.6,5,0,0.3,2/2/26,78,42,60,6.7,5,,0,0
1/3/26,63,55,59,1,6,0,0.54,78,54,66,9.8,0,1,,0,
1/4/26,60,54,57,-1.1,8,0,0.32,2/10/26,63,57,60,3.8,5,,0,0.27
1/5/26,65,50,57.5,-0.6,7,0,,2/11/26,63,50,56.5,0.3,8,,0,0.53
1/6/26,66,52,59,0.8,6,,,2/12/26,68,47,57.5,1.2,7,,0,0
1/7/26,68,49,58.5,0.3,6,,,2/13/26,71,44,57.5,1.2,7,,0,0
1/8/26,63,44,53.5,-4.8,11,,,2/14/26,66,46,56,-0.4,9,,0,0
1/9/26,66,40,53,-5.3,12,,,2/15/26,62,50,56,-0.5,9,,0,0
1/10/26,72,40,56,-2.4,9,,,2/16/26,55,47,51,-5.5,14,,0,1.6
1/11/26,77,43,60,1.6,5,,,2/17/26,58,44,51,-5.6,14,,0,0.36
1/12/26,76,45,60.5,2,4,0,0,2/18/26,58,45,51.5,-5.2,13,,0,0.28
1/13/26,81,48,64.5,6,0,0,0,2/19/26,56,42,49,-7.8,16,,0,0.26
1/14/26,83,51,67,8.5,0,2,0,2/20/26,58,37,47.5,-9.4,17,,0,0
1/15/26,84,54,69,10.4,0,4,0,2/21/26,69,38,53.5,-3.5,11,,0,0
1/16/26,83,50,66.5,7.9,0,2,0,2/22/26,76,45,60.5,3.4,4,,0,0
1/17/26,83,50,66.5,7.9,0,2,0,2/17/26,56,46,51,-2.7,14,,0,1.08
1/18/26,82,52,67,8.4,0,2,0,2/18/26,55,23.99,47,-6.7,18,,0,0.06
1/19/26,79,49,64,5.4,1,0,0,2/19/26,56,40,48,-5.7,17,,0,0.41
1/20/26,82,50,66,7.4,0,1,0,2/20/26,57,35,46,-7.8,19,,0,0
1/21/26,69,52,60.5,1.9,4,0,0,2/21/26,63,35,49,-4.9,16,,0,0
1/22/26,64,54,59,0.4,6,0,0,2/22/26,68,36,52,-1.9,13,,0,0
1/23/26,67,51,59,0.4,6,0,0,2/23/26,ERROR,,,,,,,
1/24/26,66,48,57,-1.6,8,0,0,2/24/26,71,48,59.5,5.5,5,,0,0
1/25/26,71,43,57,-1.6,8,0,0,2/25/26,68,50,59,4.9,6,,0,0
1/26/26,75,50,62.5,3.9,2,0,0,2/26/26,82,51,66.5,45%,0,,2,0
1/27/26,77,48,62.5,3.9,2,0,0,2/27/26,87,54,70.5,16.3,0,,6,0
1/28/26,76,50,63,4.4,2,0,0,2/28/26,81,54,67.5,13.2,0,,3,0
1/29/26,82,48,65,6.4,0,0,0,Sum,1954,1231,-,-,232,,11,3.4
1/30/26,85,52,68.5,9.9,0,4,0,Average,69.8,44,56.9,3.3,-,,-,-
1/31/26,86,55,70.5,11.9,0,6,0,Normal,64.8,42.5,53.6,-,319,,1,2.85
Sum,2285,1533,-,-,122,23,2.47,,,,,,,,,
Average,73.7,49.5,61.6,3.2,-,-,-,,,,,,,,,
